Size,Density 0.1,Density 0.3,Density 0.5,Density 0.7,Density 0.9
20,0.00016605854034423828,0.0003088831901550293,0.0005001068115234375,0.0009001970291137695,0.0004605293273925781
40,0.0021735191345214843,0.0035286545753479004,0.003751826286315918,0.003901374340057373,0.003996694087982177
60,0.008781111240386963,0.012009549140930175,0.012227368354797364,0.0127435564994812,0.01295250654220581
80,0.02336181402206421,0.0292147159576416,0.028938591480255127,0.029538166522979737,0.030293202400207518
100,0.04688647985458374,0.05504007339477539,0.056385266780853274,0.05717523097991943,0.05822111368179321
120,0.08341275453567505,0.10101664066314697,0.09742696285247802,0.09861459732055664,0.09899032115936279
140,0.13656938076019287,0.15227134227752687,0.1543241024017334,0.15734766721725463,0.15545204877853394
160,0.2076493263244629,0.22722768783569336,0.2302566409111023,0.230643367767334,0.2332615852355957
180,0.29711400270462035,0.3244474768638611,0.32718324661254883,0.3283137917518616,0.3344781517982483
200,0.42347991466522217,0.4484712481498718,0.45518007278442385,0.45072317123413086,0.4591090440750122
